,category,title,body
8160,redneck,bam bam!,why is alabama the smartest state in the u.s.? it has four  a s and a  b .
8173,one liners,jewish group,what do you call a group of jew baritones and sopranos singing? soap opera.
8201,puns,great expectations,"charles dickens walks into a bar and orders a martini. the bartender asks,  olive or twist? "
8202,one liners,boidy and a fly,"what is the difference between a bird and a fly? well, a bird can fly . . ."
8207,one liners,too correct,psychiatrist to his nurse   just say we are very busy. do not keep saying 'it is a madhouse.' 
8208,puns,the whole tooth,what does the dentist of the year get? ..a little plaque.
8214,other / misc,dead,how can a person living in minnesota be buried in milwaukee?
8215,one liners,ethics exam,"i passed my ethics exam. naturally, i cheated."
8227,one liners,argue meant,do not argue with an idiot. he may be doing the same thing.
8229,one liners,you know something?,knowledge cannot enter the head via an open mouth.
8230,puns,"oh, my stars!",astronomy is looking up.
8231,one liners,â©rap,rap is to music as etch a sketch is to fine art.
8232,one liners,to arms!,join the fight against brutality.
8233,puns,see helen,"helen waite is our credit manager. if you want credit, go to helen waite."
8234,one liners,attacks,why is not there a tax on stuff i do not like?
8242,puns,marble - ous,marble is a valuable building material and should not be taken for granite.
8243,one liners,have faith?,"as a computer, i find your faith in technology amusing."
8244,puns,well informed,disinformation is not as good as datinformation.
8245,puns,. . . . . .don't ask!,"ascii stupid question, get a stupid ansi!"
8246,puns,"quatre, cinq, .. . .er?.",i learned french in six easy liasons.
8247,one liners,i know i'm right!,"when a man wants to believe something, it does not take much to convince him."
8256,other / misc,no joke here, told you so 
8261,one liners,foreign film,foreign film any movie shown in a texas theater that is not a western.
8264,one liners,magazine,magazine bunch of printed pages that tell you what is coming in the next issue.
8272,puns,melancholy,why do melons get married in church?   because they cantaloupe.
8274,animal,seventh law,newton is little known seventh law   a bird in the hand is safer than one overhead.
8280,one liners,the golden rule,remember the golden rule he who has the gold makes the rules.
8281,one liners,just when,"just when you get really good at something, you do not need to do it any more."
8282,one liners,just when ii,"just when you find something you really like, they stop making it."
8283,one liners,prudhomme's law,prudhomme is law of window washing it is on the other side.
8288,religious,view from the top,people who want to inform you of their religious views almost never want to hear yours.
8290,one liners,anybody can win,"anybody can win. unless, of course, there happens to be a second entry."
8291,one liners,sands,let not the sands of time get in your lunch.
8292,one liners,whowhatwhenwherewhichhow,a person soon learns how little he knows when a child begins to ask questions.
8294,one liners,just don't!,the one who says it cannot be done should never interrupt the one who is doing it.
8296,one liners,all things,all things are possible   except skiing through a revolving door.
8298,redneck,married?,how can you tell if a redneck is married? there are tobacco stains on both sides of his pickup.
8312,one liners,your choosing,quick   cheap   good pick 2.   dennis robertus.
8313,puns,where's all the money?,america is a land of untold wealth.   internal revenue service.
8320,insults,mexican sports,what is a mexican is favorite sport!?                                 cross country
8323,yo momma,soooo poor,"yo momma is so poor, she hangs the toilet paper out to dry!"
8324,men / women,no ass,what do you call a woman with no asshole? divorced.
8329,puns,the new car, do you like the new car alice and i just bought?  tom asked onerously.
8332,one liners,tick-tock,why should not you tell a secret around a clock? because time will tell.
8333,other / misc,joke #2,want to hear a really big joke? joke!
8334,other / misc,joke #3,want to hear a backwards joke? ekoj
8335,other / misc,innocent word #2,what starts with 'p' and ends in 'orn'   popcorn
8338,animal,rooster and owl,what do you get when you cross a rooster and an owl? a cock that stays up all night!
8342,gross,thermometer,what is the differance between an oral thermometer and a rectal thermometer? the taste...
8352,knock-knock,cow,"knock, knock who is there? cows go. cows go who? no, silly! cows go moo!"
8388,one liners,cannibal humor,q  why are cannibals such great improvs? a  they keep feeding off each other.
8390,blond,lightning,q  why do blondes smile when lightning strikes? a  they think they are getting their photo taken.
8406,men / women,personal ad.,hopeless romantic. seeking  filthy whore
8409,animal,ape's,what is black and red? an ape going down a hill!
8417,other / misc,liberty or death,q. how do you say  give me liberty or give me death!  in french? a. i give up.
8418,other / misc,defend paris,q. how many frenchmen does it take to defend paris? a. nobody knows. it is never been tried.
8419,other / misc,"100,000 frenchmen","q. what do you call 100,000 frenchmen with their hands up? a. the french army."
8423,other / misc,trees in paris,q  why do they have trees in paris? a  so the germans can march in the shade instead of the sun.
8426,other / misc,jesus,why was jesus not born in france? because they could not find three wise men or a virgin.
8447,animal,bird,"once a bird pooped on me, so i threw it back."
8454,animal,cross the road,why did the chicken cross the road? because kentucky fried was on the side he was leaving from.
8459,blond,two blonds,what do you get when two blonds fight? a stupid fight.
8460,animal,parasite,how did the parasite cross the road? it hopped on the chicken!
8461,other / misc,roses,what is better than roses on your piano?? tulips on your organ!  two lips 
8462,one liners,another usage of wocka?,post rejected braingle brain teasers here.
8463,other / misc,cretins,i once heard a cretin tell his friend that all cretins are liars! did he lie though?
8476,other / misc,condoms,q  what do you call people who use condoms? a  parents.
8478,insults,fuck hubluza!,fuck hubluza!
8489,knock-knock,giraffe joke,knock knock who is there? giraffe giraffe who? giraffaggot!
8492,animal,yo momma and the pig,"yo momma is so smelly that when she entered a pig sty, all the pigs had to evacuate..."
8497,redneck,you might be a redneck if...,...you have every episode of hee haw on tape.
8498,redneck,you might be a redneck if...,...you carried a fishing pole into sea world.
8499,redneck,you might be a redneck if...,...a seven course meal is a bucket of kfc and a sixpack.
8501,redneck,you might be a redneck if...,... you have an above ground pool and you fish in it.
8502,redneck,you might be a redneck if...,...you have ever had to have a wrecker pull your car out of a pothole in your driveway.
8503,redneck,you might be a redneck if...,...you think the mountain men in deliverance were just  misunderstood .
8504,redneck,you might be a redneck if...,...your screen door has no screen.
8505,redneck,you might be a redneck if...,...you cut the grass and find a car.
8506,redneck,you might be a redneck if...,"...if you refer to the fifth grade as,  your senior year ."
8508,redneck,olympics,you might be a redneck if... you think mud rasslin' should be an olympic sport.
8509,redneck,jean genie,you might be a redneck if... your gene pool does not have a  deep end. 
8510,redneck,get his burg ii,you might be a redneck if... you think the gettysburg address is where lincoln lived.
8511,redneck,benny the dip,you might be a redneck if... the lake has to be restocked after you take a bath.
8512,redneck,send in the clowns,you might be a redneck if... you are 42 and still have clowns come to your birthday party.
8515,puns,will you look at that!,my grandfather invented the rear view mirror. made millions   has not looked back since!
8522,yo momma,so fat,yo momma is like the internet  she is worldwide.
8529,animal,the chicken who crossed the road,person a  why did the chicken cross the road? person b  is this a trick question?
8531,puns,are you watching?,sign outside a watch maker is shop  watch batteries fitted.
8532,puns,try our curries,"sign outside a chinese restaurant  try our curries, you will never get better."
8539,one liners,sleepy hollow,i found this attached to a halloween scythe  be sure head is attached before use.
8542,one liners,green,what is green and runs round the garden? the hedge!
8547,yo momma,smack that,yo momma so fat you can slap her ass all day and not slap the same place twice!.
8567,other / misc,aliens,what do call a crying alien baby? an unidentifyed crying object!
8570,animal,not try to sing,what part of music is the part you would better not try to sing? refrain!
8571,one liners,high morals,what is a musician with real high morals? virtuoso.
8572,other / misc,unfinished symphony,who composed the unfinished symphony? sherbet.
8573,puns,principal singer,what was the principal singer of nineteenth century opera called? pre madonna!
8575,other / misc,u p,can you decipher this phrase? u p broken up!
8576,other / misc,weather cast cast cast cast,can you decipher this phrase? weather cast cast cast cast weather forecast!
8577,other / misc,water,what does this represent? w a t e r waterfall!
8578,one liners,a r m s,can you decipher this phrase? a r m s open arms!
8579,one liners,les chã¨res,les chã¨res lã©chã¨rent les chairs.
8584,one liners,kind of makes you think 1,why do we press harder on a remote control when we know the batteries are getting weak?
8587,one liners,kind of makes you think 4,why does not glue stick to the bottle?
8588,one liners,kind of makes you think 5,why do they use sterilized needles for death by lethal injection?
8589,animal,kind of makes you think 10,"if people evolved from apes, why are there still apes?"
8590,one liners,kind of makes you think 11,does a clean house indicate that there is a broken computer in it?
8591,animal,kind of makes you think 13,is there ever a day that mattresses are not on sale?
8595,one liners,kind of makes you think 21,why do you never hear father in law jokes?
8618,men / women,what's the difference,what is the difference between man and life? life is always hard.
8631,bar,waiter 2,"waiter, this plate is wet. that is your soup, sir."
8635,men / women,one more word,"wife  one more word, and i will go back to my mother! husband  taxi!"
8638,other / misc,wrist wrist,what does this represent? wrist wrist tourists!  two wrists 
8639,animal,dog the,can you decipher this phrase? dog the the underdog!
8640,animal,smoke g,can you decipher this phrase? smoke g go up in smoke!
8641,other / misc,hill,can you decipher this phrase? h i l l downhill!
8642,one liners,tttttttttt,can you decipher this phrase? tttttttttt tent.
8643,one liners,line,can you decipher this phrase? line   end of the line!
8651,animal,yo mama,"yo mama so hairy and fat, that when she went to a museum they yelled  the mammoth is alive! "
8652,insults,yo mama and dady,"yo mama and daddy r so fat, half the world went to ur mom, the other to ur dad."
8653,animal,wat u call?,wat do u call a female dog?
8654,other / misc,did u?,did u have a pussy around ur head?
8673,puns,velcro,velcro   what a rip off!
8691,one liners,assorted windows95 one-liners 1,dogs crawl under fences...software crawls under windows95.
8692,one liners,assorted windows95 one-liners 2,scanning for viruses...windows95 found...please delete.
8693,one liners,assorted windows95 one-liners 3,double your drive space...delete windows95.
8694,one liners,assorted windows95 one-liners 4,friends do not let friends use windows95.
8695,one liners,assorted windows95 one-liners 5,if at first you do not succeed...work for microsoft.
8696,one liners,assorted windows95 one-liners 6,turn your pentium into a gameboy...type  win  at the prompt.
8697,one liners,assorted windows95 one-liners 8,windows95...the best  159 solitaire game you can buy.
8698,one liners,assorted windows95 one-liners 9,activate your own virus... type  win  at the prompt.
8700,tech,assorted windows95 one-liners 11,the best way to accelerate windows is through one.
8711,yo momma,clifford can hit it,yo' momma so fat that you gotta be clifford the big red dog to hit it doggystyle!
8712,yo momma,rated e,yo momma is rated 'e' for everyone.
8713,other / misc,pirate's favorite food,what is a pirate is favorite food? taco bell is carrne asada.
8716,one liners,clever little chicken,what did the chicken say to the bully? why do not you peck on someone your own size?
8719,one liners,at the institute,"according to the institute of incomplete research, 7 out of 10 people are"
8732,one liners,don't forget to remember,"when you are right, no one remembers. when you are wrong, no one forgets."
8738,other / misc,invisible,what is invisible and very frightened? a ghost with the sheet scared out of him.
8777,other / misc,don't give me food... give me water,give me food and i will live. give me water and i will die. what or who am i?  scroll down  a fire
8779,men / women,perfect man,"what do you call an intelligent, good looking and sensitive man? a rumour"
8782,insults,your book, thank you for sending me a copy of your book  i will waste no time in reading it.    moses hadas.
8783,sports,the idiot,soccer coach  why did not you stop the ball? new goalie  i thought that was what the net was for!
8785,yo momma,yo momma so old,"larry  yo momma so old her birth certificate said expired! jerry  you know, at least i have a mom!"
8786,other / misc,how does sherlock sneeze?,"brad  chad, how does sherlock holmes sneeze? chad  a clue ! a clue!"
8788,yo momma,so ugly,yo momma is so ugly she made a blind person cry!!
8789,yo momma,the oldest joke,the oldest yo momma joke in the book  yo momma so fat that she is fat.
8792,yo momma,yo momma so fat!,"yo momma so fat when she peed in china, she made the yellow river!"
8793,at work,why mexicans lost their jobs.,because lexus created the park it your self car many mexicans lost their jobs.
8798,other / misc,why did humpty dumpty have a great fall?,larry  why did humpty dumpty have a great fall? mary  because he had a bad summer.
8799,children,did you pick up your room?,"mom  jimmy, did you pick up your room yet? jimmy  no mom, it is too heavy."
8805,other / misc,shortest checkmate,"how many moves, at least, are required to checkmate in chess? four moves. 1.f4 e5 2.g4 qh4 "
8806,tech,diagonals of an n-polygon,how many diagonals does an n polygon have? n n 3  2.
8810,other / misc,20 = b s in l b,20   best score in lowball bowling.
8811,other / misc,162 = w s in g,162   worst score in golf.
8812,other / misc,72 = b s in g,72   best score in golf.
8817,one liners,confuscious says,cinfuscious says   it is nice to meet a woman in the park but is better to park meat in a woman.
8819,children,i cleared my mind,sean  i have finally cleared my mind! dean  does your new one work?
8834,knock-knock,classic,knock knock. who is there? poop!
8836,other / misc,r r a y y,can you decipher this phrase? r r a y y x ray!
8838,other / misc,hot hot handle handle,can you decipher this phrase? hot hot handle handle too hot to handle!
8839,animal,e l g g u r t s,can you decipher this phrase? e l g g u r t s uphill struggle!
8841,other / misc,m l i k,can you decipher this phrase? m l i k milk shake!
8844,other / misc,b sai,can you decipher this phrase? b sai bonsai! b  on  sai.
8845,animal,knee light light,can you decipher this phrase? knee light light neon lights!
8848,animal,hear t,what is represented by this? hear t broken heart!
8849,other / misc,t n o r f o t,what is represented by this? t n o r f o t back to front!
8850,animal,wowolfol,what is represented by this? wowolfol wolf in sheep is clothing  wool !
8851,other / misc,rennur,what is represented by this? r e n n u r runner up!
8852,other / misc,heart heart heart,what is represented by this? heart heart heart heart to heart!
8853,other / misc,steppetspets,"what is represented by this? steppetspets one step forward, two steps back!"
8854,other / misc,egassam,what is represented by this? egassam back massage!
8855,animal,do wn,what is represented by this? do wn broken down!
8856,animal,way,what is represented by this? way one way!
8859,puns,brake! i said brake!,my pal is addicted to brake fluid   but he says he can stop any time he wants.
8860,puns,history of,started a great book the other day   i could not put it down. it is called  the history of glue !
8863,one liners,horizontal surface,any horizontal surface is soon piled up.
8880,animal,pets,can you decipher this phrase? p e t s step up!
8882,animal,b o n e s,can you decipher this phrase? b o n e s broken bones!
8883,animal,lookkool,can you decipher this phrase? lookkool look both ways!
8884,animal,can you decipher this phrase?,can you decipher this phrase? pu back up!
8886,animal,10=d in a m,10 d in a m 10 decimeters in a meter.
8887,other / misc,10=e on b,10 e on b 10 editors on braingle.
8888,animal,r u n,can you decipher this phrase? r u n run down!
8889,animal,w o r k,can you decipher this phrase? w o r k seesaws overseas work!
8890,animal,qqqqqq,"can you decipher this phrase? qqqqqq no excuse. there is no x listed, but there are some qs."
8891,other / misc,cat,can you decipher this phrase? cat cat cat cat cat cat cat cat cat cat cat cat copy cat!
8893,animal,ed crowd,can you decipher this phrase? ed crowd over crowded   crowd over ed .
8894,animal,e e y e e d d,can you decipher this phrase? e e y e e d d cross eyed!
8895,animal,1 c a and 4 h a in a m m,1 c a and 4 h a in a m m 1 carbon atom and 4 hydrogen atoms in a methane molecule!
8897,animal,chicken's favorite joke....,what is a chicken is favorite type of joke? the human who crossed the road!!!
8901,insults,jupiter,what is hitlers least favorite planet? 'jewpiter'
8904,insults,queer jew,how do you know you have a queer jew? he likes money more than girls.
8905,insults,jewish sports car,"have you heard about the jewish sports car? it stops on a dime, then picks it up"
8906,insults,jewish football,whats the object of jewish football? to get the quarter back.
8907,insults,jews in the desert,why did the jews walk around the desert for 40 years? they heard that someone dropped a quarter
8908,insults,broken nose,what happens when a jew with an erection walks into a wall? he breaks his nose.
8909,insults,speeding bullet,what is faster than a speeding bullet? a jew with a coupon.
8910,insults,black priest,what is a black priest called? holy shit!
8924,one liners,war,the best way to end a war is to surrender.
8925,other / misc,worst joke ever :(,this is the worst joke ever. give it no smiley face.
8926,other / misc,best joke ever :),this is the best joke ever! give it a full smiley            
8944,other / misc,16 more w k than b k on a p,16 more white keys than black keys on a piano.
8945,other / misc,8*4 = w in s m b,8 4   worlds in super mario brothers.
8946,other / misc,b j = c of c,beijing   capital of china.
8947,other / misc,8 = p in s s,8   planets in solar system.
8948,other / misc,x + y + z + t = 4 d,x axis   y axis   z axis   time   4 dimensions.
8949,other / misc,7 + 7 + 7 = j,7   7   7   jackpot!
8950,other / misc,3.6 = c in a mah,3.6   coulombs in a milliampere hour.
8952,other / misc,a a a a k = b 4 of a k,a a a a k   biggest 4 of a kind.
8954,other / misc,business,can you decipher this phrase? b business business a c k getting back down to business!
8955,other / misc,abcdefghijkmnopqrstuvwxyz 2,can you decipher this phrase? abcdefghijkmnopqrstuvwxyz 2 mistletoe!  miss l two. 
8956,animal,ru[color=red]e[/color],can you decipher this phrase? ru color red e  color  are you ready   r u   red e .
8957,animal,deinpth vestinigation,can you decipher this phrase? deinpth vestinigation in depth investigation!
8958,animal,ballbballaballsballkballeballtball,can you decipher this phrase? ballbballaballsballkballeballtball basket balls!
8959,animal,t t t,can you decipher this phrase? t t t u i u l p l i t i p o p s e s tiptoe through the tulips!
8960,other / misc,forward,can you decipher this phrase? forward straightforward!
8961,other / misc,onalle,can you decipher this phrase? onalle all in one!
8962,animal,l l i h,can you decipher this phrase? l l i h uphill!
8966,one liners,do not read,"you are reading it, you dope!"
8967,one liners,read me!!!,made you look!
8970,one liners,homework....,homework... something you go to school hours for and not do.
8971,other / misc,mtgg,can you decipher this phrase? mtgg a hungry horse! mt  empty  gg  gee gee   horse .
8972,animal,and ed,can you decipher the following common phrase? and ed underhanded!
8974,other / misc,last thing,what was the last thing that abraham lincoln did? he died.
8975,other / misc,"8 p, 8 n and 8 e in an o a","8 protons, 8 neutrons and 8 electrons in an oxygen atom!"
8976,other / misc,e d o w n d i s,can you decipher this phrase? e d o w n d i s upside down!
8977,animal,e n u t,can you decipher this phrase? e n u t tune up!
8979,one liners,the computer...,"the computer, the greatest invention in life even though it is bad for you."
8986,yo momma,stupid momma,yo momma is stupid that she went hunting for whales in ohio!
8987,yo momma,bad breath,"yo momma is breath is so bad, that when she entered the basement all the rats passed out!"
9012,yo momma,yo momma is so old...,"yo momma is so old, she has toys made in america."
9015,other / misc,5 = d of a p,5   diagonals of a pentagon.
9016,other / misc,9 = d of a h,9   diagonals of a hexagon.
9018,animal,9 = t of a f,9   tails of a fox.
9019,other / misc,2 = s a r in c,2   special administrative regions in china.  hong kong and macau 
9020,other / misc,d^2 = g,dozen^2   gross.
9021,other / misc,100 = d in a d,100   decimeters in a decameter.
9022,other / misc,101 = k on a c kb,101   keys on a computer keyboard.
9023,other / misc,j and j w d the h,jack and jill went down the hill.
9024,other / misc,j = 11 in c,jack   11 in cards.
9032,other / misc,kcab kcab,can you decipher this phrase? kcab kcab back to back   i.e. two back s    written back wards  
9033,animal,ehca,can you decipher this phrase? ehca backache!
9035,other / misc,step ->,can you decipher this phrase? step  > a step in the right direction!
9039,at work,meteorologists,meteorologists   people who tell something wrong and still get paid.
9040,other / misc,period,period  the thing at the end of a sentence.
9057,other / misc,one letter,"what starts with an e, ends with an e and usually contains only one letter? envelope!"
9063,one liners,team,"team has no  i  in it, but it does have a  m  and  e  in it, making  me ."
9070,one liners,don't insult those in coffins...,politically correct word for dead  living impaired
9071,other / misc,i am a bitch!,was there any doubt?
9072,other / misc,i wonder," i wonder if my friend, kent as submitted a joke about me saying how brave i am. "
9081,one liners,"hey, you wanna?","conserve water and electricity, shower with a steamy hot friend."
9083,yo momma,yo momma so fat,"yo momma so fat, she cut herself and bled gravy!"
9084,yo momma,yo momma's lips are so big!,"yo momma is lips are so big, she made angelina jolie jealous!"
9086,yo momma,yo momma's breath smells so bad!,"yo momma is breath smells so bad, her teeth duck when she yawns!"
9088,yo momma,yo momma's so ugly!,"yo momma is so ugly, you can press her face in some dough and make gorilla cookies!"
9089,yo momma,yo momma so ugly,yo momma so ugly she made an onion cry.
9090,yo momma,yo momma so ugly,yo momma so ugly the plastic surgeon sued her.
9091,yo momma,yo momma so ugly,yo momma so ugly she made a mime scream.
9092,yo momma,yo momma so ugly,yo momma so ugly they renamed  halloween   yo momma ween .
9095,men / women,big fat penis,you perverts..
9096,other / misc,red,what color is red? true or false?
9100,yo momma,5 mile run,i went for a 5 mile run today. 2 laps around yo mum!
9109,other / misc,whos there?,"knock knock, who is there animal animal who? animal i kin git lots of stuff iffn i have ta money"
9114,one liners,i'm a nobody,"i am a nobody and nobody is perfect   therefore, i am perfect."
9116,other / misc,knock-knock,"knock knock who is there? boo boo who? i do not know, but stop your crying!"
9121,puns,great plains,"teacher  john, where are the great plains? john  at the airport."
9127,animal,yum #1,what do you call a dog in the sun? a hot dog!
9139,other / misc,idiots ii," hey,  says jim,  this match will not light!   strange,  says ned,.  it worked okay this morning. "
9144,one liners,alien,definition of alien people from another country.
9148,insults,mexican,what is a mexican called when he is covered in dirt? a churro
9151,animal,um...,q  what do you get when you cross an anteater and a monkey? a  i have not a goddamn clue.
9152,one liners,"ok, this is kind of lame...","if ham is canadian bacon, then what the heck do you canadians call bacon?"
9166,yo momma,nike shox (the shoes),yo momma so fat she turned her nike shox into  shocked nikes 
9167,other / misc,st. patrick's day,q. why do people wear shamrocks on st. patrick is day? a. regular rocks are too heavy!
9172,one liners,blah!,blah!blah!blah!blah!blah!blah!blah!blah!blah!blah!blah!blah!
9174,yo momma,i'm so good!,i am so good that even yo momma cheers for me!
9175,lightbulb,dont read this boys,q  how many clowns does it take to screw in a light bulb? a  paid clowns   5 boys in school   1000
9177,other / misc,man at the door," daddy, there is a man knocking on the door with a beard!   no wonder i did not hear him! "
9179,animal,garage sale,why do you go to a black person is yard sale? to get your stuff back!
9181,yo momma,give you something,  i want to give you something.   that is what your mom said to me last night.
9182,yo momma,dad doing,  what is your dad doing?   your mom!
9183,yo momma,do next,  what do you wanna do next?   your mom!
9184,yo momma,enter my room,  i told you to knock before you enter my room!   your mom.
9185,yo momma,dinner last night,  what did you have for dinner last night?   your mom.
9186,yo momma,dinner last night (ii),  what did you have for dinner last night?   your mom.   ...and for dessert?   your mom.
9187,yo momma,a dog,"painter   y'are a dog.  apemantus   thy mother is of my generation. what is she, if i be a dog? "
9189,yo momma,see that x,see that x? that is your mum that is.
9191,other / misc,keep an idiot in suspense,how do you keep an idiot in suspense? i will tell you tomorrow!
9192,other / misc,average iq,"a kerryman emigrated from ireland to england, thereby increasing the average iq of both countries."
9193,tech,national parks,why do mathematicians like national parks? because of the natural logs.
9194,tech,purple and commutes,what is purple and commutes? an abelian grape.
9204,knock-knock,lettuce!,"knock knock. who is there? lettuce. lettuce who? lettuce in, it is raining!"
9207,animal,another chicken joke that doesn't involve crossing the road,what do you call a chicken in a shell suit? an egg!
9208,animal,again it's another chicken joke not involving crossing the road,what do you call a chicken? a chicken.
9209,one liners,the beatles,why can not you go to the bathroom at a beatles concert? there is no john.
9210,men / women,pms,what does pms stand for? potential murder suspect
9211,knock-knock,alaska,"knock knock who is there? alaska alaska who? alaska one more time, open the door"
9213,men / women,how are emo's and girls periods the same?,well both the girl and the emo bleed blood and both of them are annoying as hell in the process.
9215,men / women,what's dirty dancing?,a vertical expression of a horizontal desire.
9219,medical,do i need glasses?,"doctor, doctor. i think i need glasses. you sure do, sir. this is a flower shop."
9220,other / misc,ok umm ya i did,"ok umm uhh, ahhh! oh well, i just forgot what i was gonna say. man i am stupid"
9223,news / politics,wars don't tell who's right . . .,. . . they only tell who is left.
9227,other / misc,do you wanna hear a good joke?,me  do you wanna hear a good joke? amy  yes! me  me too!
9229,knock-knock,the game,"knock knock. who is there? guess. guess who? what, i do not know."
9232,knock-knock,knock-knock,knock knock who is there? who is there. who is there who? i am supposed to say who is there!
9237,knock-knock,knock-knock?,knock knock! who is there? harry. harry who? harry up and answer the door!
9238,one liners,how to make an invention work,"if you are inventing something, the best way for it to work is to give it a job."
9239,one liners,the similarity of all,the similarity of all the people that live is that they are alive and they are living.
9245,other / misc,what 2,what is better than going to school? having play time every day!
9246,other / misc,why 1,why did the limping man sit on a scorpion? he thought that it would be  pinched !
9249,other / misc,cannibals,"q  what is a cannibal? a  ç×doçd é¥êä±ê dn pçé s,oé¥ê uosé¹çd é"
9253,yo momma,doorbell,yo momma so stupid when she heard the doorbell she opened the microwave and said  hello??? 
9263,at work,scary business headline,real headline   air traffic controllers can apply for job in braille 
9274,religious,hitler,whats hitlers least favourite planet ?   jewpiter
9287,animal,swine flu! i,how do you know if you have the swine flu? you wake up in pigtails and then break out in rashers!
9288,animal,swine flu! ii,swine flu may affect your hearing  you could get crackling in one ear!
9290,puns,sine flu,i hear there is now a sine flu as well. someone on the news was going off on a tangent about it.
9292,other / misc,peter pan,q why can peter pan fly? a because if you got hit in the peter with a pan you would fly too.
9293,yo momma,so stupid,yo momma is so stupid she drowned in the shower.
9295,other / misc,pool table,why is a pool table green? because if someone racked your balls you would be green too.
9298,blond,fire under water,what is worse than a brunette building a fire under water? a blonde trying to put it out.
9308,men / women,stand under,"y'know   just when i think i have finally figured out women, i wake up!"
9310,puns,in the eye of the beerholder,"she was only a whisky maker is daughter, but he loved her still."
9317,one liners,jersey girls,jersey girls are not trash  trash gets picked up.
9318,insults,black woman,how long does a black woman take to do a shit? 9 months
9324,redneck,you know you're a redneck when . . .,"someone approaches you to say hi and your immediate response is,  you bet i am! "
9326,insults,kenyans,why are not there more kenyans in the olympics? all the rest could not outrun the slave traders!
9332,yo momma,land ahoy!,"yo mamma is so fat when she jumped off the ship a sailor yelled,  land ahoy! "
9335,puns,snap,i tried for years to snap my thumb and finger together   and suddenly it clicked!
9337,animal,dead baby crying,how do you shut up a crying baby? finish the job.
9338,one liners,gets stoned,do you think god gets stoned? i do. look at the platypus!  robin williams
9339,blond,blonde in your fridge,how can you tell if a blonde has been in your fridge? there is lipstick on the cucumber
9342,one liners,learned it in 5th grade...,what do you call a black priest? holy crap!
9346,yo momma,if i ever need a good laugh,if i ever need a good laugh....yo momma
9350,animal,ppsh-41,what does ppsh 41 stand for? it is perfectly and painfully and stubborn hallucination for 4  one 1 
9360,gross,ouch!,what did one gay say to the other when they broke up? ''you are such a pain in the a s''
9363,religious,imposter,the  bishop  came to our church today the was a fucken impostor he never once moved diagonally
9366,college,at college,1 good grades 2 social life 3 adequate sleep. pick two welcome to college...
9367,children,"dad, have you . . .?","dad, have you got a ladder? yes  why? i have to write an essay on an elephant!"
9377,at work,dmv 2,dmv jokes get old really fast. unlike the dmv. you have to go through a special line to become old.
9379,one liners,'mornin,good morning is a contradiction in terms.
9381,one liners,intelligence? i think not!,what do you call an intelligent man in america? a tourist.
9385,yo momma,crack pot,"yo momma is so stupid, that she made a crack on the sidewalk and tried to smoke it!"
9386,animal,you'll never understand english,"if a fly can fly, can an elephant elephant?"
9391,yo momma,half and half,"jimmy to billy   you ai not half the man yo momma was. but hey, you are half the girl yo papa was."
9401,men / women,you must know you're old when....,"an elderly couple was watching the news when the man farts. the man asks  was that me, or you? "
9403,other / misc,do you have a headache? seriously?,no cure here. . . .
9404,yo momma,yo momma let one rip,"yo momma is so old that when she farts, dust comes out!"
9405,yo momma,a fat story of yo momma. . .,"yo momma is so fat, she is not on a diet. . .she is on two diets cause one ai not fittin' her well!"
9407,yo momma,yo momma has done it again. . .classic,yo momma has afros on her nipples
9408,college,1/cabin,"what is the integral of 1 cabin? a natural log cabin. no, a houseboat â you forgot to add the c!"
9409,college,dead people,"if only dead people understand hexadecimal, how many people understand hexadecimal? 57005."
9410,college,halloween and christmas,why do mathematicians always confuse halloween and christmas? because 31 oct   25 dec.
9417,college,sin x,what is sin x divided by n? canceling the  n  yields six.
9426,bar,ducks under it,the englishman and the scotsman both walk into a bar. the irishman ducks under it.
9431,one liners,avoidable,what a bullfighter tries to do.  avoid a bull 
9432,one liners,buccaneer,too much to pay for corn   a  buck an ear 
9433,one liners,dandelion,a fashionably dressed big cat  dandy lion 
9434,one liners,decadent,possessing only ten teeth.  deca dent 
9435,one liners,devastation,where people wait for buses.  the bus station 
9436,one liners,dilate,live long  die late 
9437,one liners,fortunate,consumption of an expensive meal.  fortune ate 
9438,one liners,impolite,a flaming elf.  imp alight 
9439,one liners,indistinct,where one places dirty dishes  in the sink 
9444,one liners,innuendoes,italian suppositories.  in you end os 
9445,one liners,isolate,me not on time.  i  am  so late 
9446,puns,legend,a foot.  leg end 
9447,one liners,oboe,an english tramp.  hobo 
9448,one liners,protein,in favour of youth.  pro teen 
9449,one liners,relief,what trees do in spring.  re leaf 
9450,one liners,information,how geese fly  in formation 
9451,one liners,dick joke,is that a gun in your pocket or are you just happy to see me?
9463,puns,honecker iii, what is the difference between honecker and a telephone? none! hang up and try again. 
9465,other / misc,stasi,how can you tell that the stasi has bugged your apartment? there is a new cabinet in it.
9472,other / misc,trabant,how do you double the value of a trabant? fill up the tank!
9474,other / misc,trabant ii,did you know they have knight rider in the gdr? it is a trabant with a pocket calculator!
9477,religious,bananas in the west,why are there so many bananas in the west? because the westerners are descended from apes.
9480,religious,ossi with a wessi,what do you get when you cross an ossi with a wessi? an arrogant unemployed person.
9482,animal,paint toes yellow,q  why do elephants paint their toes yellow? a  so they can hide upside down in the custard.
9484,animal,big ears,q  why do elephants have big ears? a  because noddy would not pay the ransom!
